Q1A,Q2A,Q3A,Q4A,Q5A,Q6A,Q7A,Q8A,Q9A,Q10A,Q11A,Q12A,Q13A,Q14A,Q15A,Q16A,Q17A,Q18A,Q19A,Q20A,Q21A,Q22A,Q23A,Q24A,Q25A,Q26A,Q27A,Q28A,Q29A,Q30A,Q31A,Q32A,Q33A,Q34A,Q35A,Q36A,Q37A,Q38A,Q39A,Q40A,Q41A,Q42A,RowSums,country,TIPI1,TIPI2,TIPI3,TIPI4,TIPI5,TIPI6,TIPI7,TIPI8,TIPI9,TIPI10,education,urban,gender,engnat,age,hand,religion,orientation,race,voted,married,familysize,major
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,168,US,1,7,1,7,1,7,1,7,1,7,1,3,1,1,19,2,1,3,60,2,1,4,
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,168,US,6,4,4,5,7,2,5,1,2,5,1,2,2,1,15,1,2,2,60,2,1,5,
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,168,US,1,4,1,7,5,7,5,4,1,1,2,2,2,1,19,3,1,1,60,2,1,2,
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,168,US,4,2,4,7,6,7,7,6,1,1,2,2,1,1,20,1,1,1,10,1,1,3,
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,168,MY,1,1,1,7,1,7,1,7,1,7,2,1,1,2,42,1,10,5,10,1,1,7,chemical engineering
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,168,MY,3,6,5,6,7,6,7,3,3,2,2,3,1,2,24,1,10,1,10,1,1,3,Law
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,168,CA,5,4,5,7,5,7,7,7,4,7,1,2,2,1,16,1,1,1,50,2,1,2,
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,168,IN,0,0,0,0,0,0,7,0,0,0,3,3,2,2,48,1,8,1,10,1,3,4,Ph D
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,168,GB,1,7,1,7,5,1,1,7,1,4,1,3,3,1,14,1,12,5,60,2,1,3,
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,168,MY,6,5,5,7,6,7,7,7,5,2,0,3,2,1,24,2,10,1,10,2,2,3,Marketing
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,168,MY,5,3,7,7,6,7,7,1,5,4,2,3,2,2,17,1,10,1,10,2,1,5,
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,168,US,7,7,7,7,7,7,7,7,7,7,1,3,2,1,13,1,4,5,30,2,1,2,
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,168,ES,1,4,1,7,3,7,4,7,1,5,2,2,3,2,16,3,12,4,70,2,1,1,
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,168,VE,1,1,1,7,1,6,7,7,1,6,2,3,2,2,20,1,0,0,70,1,1,3,
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,168,MY,2,2,5,5,5,7,7,3,2,1,3,2,2,2,21,2,10,1,10,2,1,4,English
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,168,ES,1,6,2,7,1,7,1,5,1,3,2,2,2,2,18,1,2,4,60,2,1,3,
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,168,US,1,4,7,7,4,7,5,4,2,4,2,1,2,1,19,1,4,1,60,2,1,4,
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,168,US,7,7,7,7,7,7,7,7,7,7,1,3,2,1,13,1,4,2,30,2,1,12,Psychology 
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,168,US,5,6,5,7,7,7,7,7,3,4,1,2,2,1,13,1,12,2,60,2,1,2,
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,168,PH,6,7,4,7,4,7,7,7,1,7,3,3,2,2,17,1,4,5,10,2,1,2,Psychology
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,168,PH,1,4,4,7,1,7,4,6,1,7,2,0,2,2,17,1,4,2,10,2,1,3,
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,168,UA,1,3,7,6,6,7,4,7,2,3,3,3,2,2,25,1,1,2,60,1,1,1,English
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,168,MY,6,7,7,7,7,6,5,7,2,7,3,3,1,1,22,1,10,2,10,1,1,5,Engineering
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,168,KW,0,0,0,0,0,0,0,0,0,0,2,3,2,2,18,1,10,0,10,2,1,5,Accounts
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,168,US,1,3,1,7,3,3,7,7,1,1,2,3,2,1,26,1,12,1,30,2,1,3,
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,168,US,1,7,5,7,1,7,7,1,1,1,2,1,2,1,19,1,7,2,60,2,1,4,medicine
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,168,MY,1,7,1,7,1,7,7,7,1,7,2,2,2,2,18,1,10,1,10,2,1,3,
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,168,BR,1,7,1,7,7,7,5,7,1,1,2,2,2,2,17,2,1,3,60,2,1,4,
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,168,US,5,5,7,7,3,7,7,6,1,1,1,3,2,1,15,1,6,1,60,2,1,2,
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,168,US,1,7,1,7,4,3,6,6,3,5,3,3,1,2,29,1,2,1,60,2,2,2,eet
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,168,MY,6,0,4,6,7,7,6,7,1,4,2,1,2,2,22,1,10,1,10,2,1,6,Architecture
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,168,US,1,4,4,7,4,7,5,7,1,4,1,2,0,1,16,1,1,1,70,2,1,2,
